t_ms,H,T,E,P,M,D,R,RAW,A,F,PRE,CAS,RS,CM,FH
5204,8.2,15.0,6.8,4100,1,0.0,6752,40.4,2,49.0,0,1,7200,2,0.00
5220,8.6,15.0,6.4,4100,1,0.0,6750,40.0,4,49.0,0,1,7200,2,0.00
5251,8.9,15.0,6.1,4100,1,0.0,6815,40.4,5,49.0,0,1,7200,2,0.00
5267,9.1,15.0,5.9,4100,1,0.0,6815,40.6,7,49.0,0,1,7200,2,0.00
5282,9.1,15.0,5.9,4100,1,0.0,6747,40.3,9,49.0,0,1,7200,2,0.00
5313,9.1,15.0,5.9,4100,1,0.0,6749,39.9,9,49.0,0,1,7200,2,0.00
5330,9.3,15.0,5.7,4100,1,0.0,6813,39.8,9,49.0,0,1,7200,2,0.00
5407,9.5,15.0,5.5,4100,1,0.0,6810,39.2,69,49.0,0,1,7200,2,0.00
5422,10.3,15.0,4.7,4020,1,1.1,6810,38.6,5,49.0,0,1,6575,2,0.00
5454,10.7,15.0,4.3,3841,1,3.0,6743,38.3,7,49.0,0,1,6537,2,0.00
5470,11.0,15.0,4.0,3819,1,5.1,6735,37.9,9,49.0,0,1,6496,2,0.00
5485,11.2,15.0,3.8,3800,1,6.9,6790,38.2,9,49.0,0,1,6462,2,0.00
5500,11.4,15.0,3.6,3800,1,8.6,6781,37.6,9,49.0,0,1,6430,2,0.00
5532,11.6,15.0,3.4,3800,1,9.9,6702,37.8,9,49.0,0,1,6404,2,0.00
5548,11.8,15.0,3.2,3800,1,11.0,6690,36.9,9,49.0,0,1,6382,2,0.00
5564,12.4,15.0,2.6,3800,0,13.2,6741,36.6,0,49.0,0,1,6338,2,0.00
5580,12.7,15.0,2.3,3800,0,14.1,6730,36.7,2,49.0,0,1,6317,2,0.00
5611,12.9,15.0,2.1,3800,0,14.5,6651,36.1,4,49.0,0,1,6309,2,0.00
5627,13.1,15.0,1.9,3800,0,14.8,6641,35.6,6,49.0,0,1,6301,2,0.00
5642,13.3,15.0,1.7,3800,0,14.8,6693,36.1,8,49.0,0,1,6300,2,0.00
5674,13.7,15.0,1.3,3800,0,14.9,6683,35.7,9,49.0,0,1,6296,2,0.00
5689,13.8,15.0,1.2,3800,0,14.5,6672,35.4,9,49.0,0,1,6302,2,0.00
5705,14.0,15.0,1.0,3800,0,14.1,6596,34.4,9,49.0,0,1,6307,2,0.00
5721,14.3,15.0,0.7,3800,0,13.8,6587,34.8,9,49.0,0,1,6309,2,0.00
5752,14.7,15.0,0.3,3800,0,13.7,6641,35.1,9,49.0,0,1,6308,2,0.00
5768,14.9,15.0,0.1,3800,0,12.5,6631,34.3,1,49.0,0,1,6327,2,0.00
5783,15.0,15.0,-0.0,3800,0,11.6,6622,34.2,3,49.0,0,1,6342,2,0.00
5814,15.2,15.0,-0.2,3800,0,10.7,6550,34.3,5,49.0,0,1,6356,2,0.00
5829,15.4,15.0,-0.4,3800,0,9.9,6541,34.3,7,49.0,0,1,6369,2,0.00
5923,15.4,15.0,-0.4,3802,0,8.8,6563,33.5,82,49.0,0,1,6391,2,0.00
5938,15.7,15.0,-0.7,3805,0,8.3,6555,33.5,8,49.0,0,1,6399,2,0.00
5954,15.9,15.0,-0.9,3819,0,6.7,6550,33.5,9,49.0,0,1,6424,2,0.00
5984,16.2,15.0,-1.2,3827,0,5.9,6479,34.2,9,49.0,0,1,6438,2,0.00
6000,16.0,15.0,-1.0,3846,0,4.4,6473,34.0,9,49.0,0,1,6466,2,0.00
6016,15.7,15.0,-0.7,3892,0,0.7,6468,33.9,1,49.0,0,1,6538,2,0.00
6047,15.8,15.0,-0.8,3908,0,-0.6,6525,33.7,3,48.7,0,1,6561,2,0.00
6063,15.9,15.0,-0.9,3918,0,-1.6,6523,34.1,5,48.7,0,1,6578,2,0.00
6079,15.9,15.0,-0.9,3922,0,-2.0,6520,33.4,7,48.7,0,1,6587,2,0.00
6094,16.0,15.0,-1.0,3924,0,-2.2,6457,33.5,9,48.7,0,1,6589,2,0.00
